,cell2_bc1018,520_1,cell2_bc1010,522_1,cell3_bc1010,26607014,19607016,cell3_bc1011,523_1,cell3_bc1009,64607015,518_1,cell2_bc1011,516_1,13607008,cell3_bc1008,cell2_bc1019,521_1,cell3_bc1017,13607012,61607011,cell2_bc1012,cell2_bc1021,cell3_bc1001,21607010,cell2_bc1020,cell2_bc1016,519_1,cell3_bc1003,cell2_bc1022,cell3_bc1016,61607009,cell3_bc1015,cell2_bc1009,62607013,517_1,cell2_bc1015,cell2_bc1017
0.5,,9.420442167962936,,0.3906943524502815,,0.6479579107689768,0.8974367663274168,,12.948671473435764,,0.7527796451202775,0.6981871418937698,,0.6798873506578508,0.8531207118145567,,,0.5396461427075281,,,0.7949126642857884,,,,0.7797700111306837,,,0.3348873874600973,,,,0.722844460730163,,,0.7863776884310932,1.602669937544942,,
1.0,0.5132855480095007,0.0090176847281503,0.6548747444915866,0.3604338233103267,0.9920056970147706,0.0279659600083235,0.8863548999165858,0.404403495991822,0.6845045418215944,1.345237881685484,110.8639962100031,0.6771321006302053,0.7551995077758427,0.046393040077134,0.2200717312052096,0.707154835635662,73.16893435380098,0.6930435852644086,0.442611470201325,,0.7409864828025837,0.9186286787713502,0.4690141760773682,0.5879931716986201,0.1793369880688932,0.5766416178863949,0.7779074963792229,3.611795324384963,0.8819919274381569,0.5981615987533537,1.5210979338394834,0.1120304745473515,1.2840459213511053,0.6715064607136356,20.25825781186558,1.4555520874023051,0.5089491715714084,2.031761564564158
2.0,1.3038741690765556,1.849780801150544,0.6348859713657886,0.325470763349082,0.5749266256642362,0.5185436649583247,0.8891433421662532,0.9006761668724274,0.640229801820672,1.2244555890800115,32.81172849329779,0.6614913102470391,0.6691860742780131,0.5430477299907256,58.86470553772977,0.6698888933001568,0.6444546543651257,8.53730413238464,43.60370614516136,,0.7079760973906081,0.8978329087136053,0.0763644517966106,0.614802389734169,0.698909093384261,5.665813914923758,0.7704088901609555,3.358781334457438,0.8952904212441024,0.5716758975826141,0.620878345169705,0.7492291250581071,1.78758933042561,0.3271063473344534,0.703875786646752,0.6100701567639422,0.5082880502230428,1.3000056049907058
2.5,1.1990751858912498,,0.6295838335602246,,0.2966453843942868,,,0.3594565390338161,,0.4609763539332521,,,0.7016101465113396,,,0.6652130538131555,3.1065731676528374,,1.1671004989946914,,,0.2905633851331169,0.4154229554459208,0.5798516890272604,,0.5523592707804975,0.7518839384686861,,0.8714513749067465,0.5725322763332584,0.6055841703821736,,0.2743367127691108,0.2404035738689192,,,0.4552368571616638,0.4312175083964861
3.0,0.2643451296137263,0.2216124025690288,0.6282137440084118,0.4013392839307675,15.813362587625372,0.5117485026247531,0.9109054875534824,0.3958544942090869,0.6941808269569303,0.4656519487824201,0.091070052992848,0.6380671051160981,0.7268364279646768,0.5878227647035902,0.5729521208392433,0.6207541484789655,0.6392896555854275,0.4635213363622451,0.4376604985877654,,0.6970178337481416,0.7977564409210145,0.4656717492913403,0.5714205811490207,0.4660328381660699,0.5984713590888477,1.472966048468994,2.164331207831912,2.5444593442057246,1.116397359617818,0.6040516946832687,0.8195965933298217,0.3030339419106159,1.20612530573443,0.7132805140501226,0.6383805146899071,0.5006209868059387,0.301616369802366
4.0,0.1567809536341658,0.2076219088187067,1.4081711972122803,0.3588533175276047,0.1760490136898763,0.5996672208548751,0.9087551800550172,0.998914204287044,0.6845045418215944,4.713088551489494,14.668632616807134,0.674567794942596,0.6691860742780131,0.575081046906414,0.7623260454941296,0.6489010426715863,7.526186292610807,3.2719312601807915,1.830650504280788,0.716117972189561,56.23760710967274,0.8978329087136053,0.4369736990586997,0.6056679957518194,0.7227008576085318,31.040803228457037,1.477861138908604,0.2964262335805398,2.4079796248714675,2.1129398751604005,0.6128819429584621,43.036753206350646,1.1658500953712785,0.6411646725534956,0.7073391063134502,0.6192827997173095,0.2909487346226396,10.613621891007826
4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6396656775480194,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6396656775480194,,,,,,,,,,
4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6396656775480194,,,,,,,,,,
5.0,0.4935531971946321,1.248764634872281,0.6350061941811351,0.3604338233103267,7.058259370901531,0.5999443270234849,0.8863548999165858,0.3949045336926131,0.6800121739902406,1.2240090390068448,6.361516323237016,0.6745621425121487,0.7241238465371709,0.5754217516762821,52.88030351892049,0.6698888933001568,1.4719257954916225,1.4632737652269878,1.216509202635824,0.7263601549295385,0.7409864828025837,0.8978329087136053,1.2539805126613803,0.614802389734169,0.7081305490945543,0.5358214554976292,1.477865468704078,0.4342017462707897,0.8467942452909303,0.586568828003885,0.620878345169705,0.7869526065387656,0.2979921298367513,0.6411646725534956,0.7483277023097391,2.482196198205985,1.0806079351287146,0.7378478000338748
